PRODUCER AGENCY               : NASA                                            
443016455 -380869.1781304044 -1.554107795487236 0.001250975550991474 -444293.2069877242 -0.0007472431175795029 5.278836271307825e-07 1.203480088304689e-09 2.889499921303738 1.989912700682724e-08 1.711638040818366e-08 685 677 670 700  00000000
443016460 -380876.932972272 -1.547817027888255 0.001265315925554697 -444293.2066585697 -0.0007445887143835069 5.338658994138661e-07 1.189259512361986e-09 2.889499386428691 -3.100491259984114e-07 -5.725736444803522e-08 685 677 669 704  00000000
443016465 -380884.6561801626 -1.541453923847592 0.001279925540815358 -444293.2062644266 -0.0007419045938784415 5.397666465097637e-07 1.171451702943161e-09 2.889497837447839 -2.803955562367832e-07 -3.034493594709233e-08 692 683 669 704  00000000
443016470 -380892.3473913216 -1.535018760320543 0.001294086318006713 -444293.205786843 -0.0007391911350464044 5.456112426481049e-07 1.160475224549558e-09 2.889495499188667 -6.117595678188399e-07 2.537714449682323e-08 692 683 668 721  00000000
443016475 -380900.0062498959 -1.528512799463426 0.001308312610577217 -444293.2052117061 -0.0007364488406262059 5.512694203202596e-07 1.129328952352336e-09 2.889493854922455 -1.799445290539919e-08 4.708876798647297e-08 686 682 668 721  00000000
443016480 -380907.6324020797 -1.521936722807111 0.001321952755218811 -444293.2047179784 -0.0007336776215331022 5.573725742697276e-07 1.289474968802741e-09 2.889492848470379 -4.937955853176007e-07 -6.366812081622397e-08 686 682 669 717  00000000
443016485 -380915.2255049478 -1.515292960940935 0.001335682542005765 -444293.2043867426 -0.0007308753143230285 5.633554520695005e-07 1.080698658949677e-09 2.889491010452909 -1.349089812389678e-07 4.586789384024311e-08 688 678 669 717  00000000
443016490 -380922.7852170567 -1.508580812236335 0.001348989576321235 -444293.2043361886 -0.0007280453016382504 5.686449699521779e-07 1.061785124679293e-09 2.889489700676299 -4.755550774802798e-07 -4.76441066601006e-08 688 678 669 711  00000000
443016495 -380930.3112050736 -1.501803687411083 0.00136182948452255 -444293.2045691747 -0.0007251889183286777 5.73873087183587e-07 1.023667490221881e-09 2.889487696072959 -2.349374924096976e-07 5.360385766396381e-08 690 683 669 711  00000000
443016500 -380937.8031477118 -1.494962788956115 0.001374513386569032 -444293.2049354662 -0.000722306889275962 5.789140933347854e-07 9.933666785007119e-10 2.889486384226666 -4.204006484523754e-07 -8.433682560985087e-08 690 683 671 714  00000000
443016505 -380945.2607290567 -1.488059734715302 0.001386541777482084 -444293.2055165793 -0.0007194000371391915 5.837996575839273e-07 9.609673311549509e-10 2.889484144763615 -2.387704599107466e-07 1.631740039106396e-07 691 680 671 714  00000000
